xCr;xMn;xNb;xTi;xV;xZr
0;0;10;0;40;50
50;10;10;30;0;0
50;10;20;20;0;0
50;10;30;10;0;0
40;20;10;30;0;0
40;20;20;20;0;0
30;20;20;20;0;10
20;20;20;20;0;20
40;20;30;10;0;0
20;30;0;20;0;30
30;30;0;30;0;10
20;30;10;10;0;30
30;30;10;20;0;10
20;30;10;20;0;20
30;30;10;30;0;0
20;30;10;30;0;10
30;30;20;10;0;10
20;30;20;10;0;20
30;30;20;20;0;0
20;30;20;20;0;10
10;30;20;20;0;20
20;30;20;30;0;0
30;30;30;10;0;0
20;30;30;20;0;0
20;40;0;10;0;30
20;40;0;20;0;20
10;40;0;20;0;30
20;40;0;30;0;10
20;40;10;0;0;30
20;40;10;10;0;20
10;40;10;10;0;30
20;40;10;20;0;10
10;40;10;20;0;20
20;40;10;30;0;0
10;40;10;30;0;10
0;40;10;30;0;20
20;40;20;0;0;20
20;40;20;10;0;10
10;40;20;10;0;20
20;40;20;20;0;0
10;40;20;20;0;10
0;40;20;20;0;20
10;40;20;30;0;0
0;40;20;30;0;10
20;40;30;10;0;0
10;40;30;20;0;0
0;40;30;20;0;10
0;40;30;30;0;0
10;50;0;10;0;30
10;50;0;20;0;20
0;50;0;20;0;30
10;50;0;30;0;10
0;50;0;30;0;20
10;50;0;40;0;0
10;50;10;0;0;30
10;50;10;10;0;20
0;50;10;10;0;30
10;50;10;20;0;10
0;50;10;20;0;20
10;50;10;30;0;0
0;50;10;30;0;10
10;50;20;10;0;10
0;50;20;10;0;20
10;50;20;20;0;0
0;50;20;20;0;10
0;50;20;30;0;0
10;50;30;10;0;0
0;50;30;20;0;0
0;60;0;10;0;30
0;60;0;20;0;20
0;60;0;30;0;10
0;60;0;40;0;0
0;60;10;0;0;30
0;60;10;10;0;20
0;60;10;20;0;10
0;60;10;30;0;0
0;60;20;0;0;20
0;60;20;10;0;10
0;60;20;20;0;0
0;60;30;10;0;0
0;70;0;0;0;30
0;70;0;10;0;20
0;70;0;20;0;10
0;70;0;30;0;0
0;70;10;0;0;20
0;70;10;10;0;10
